КБК	Налог
18210606042114000110	Земельный
18210606042115000110	Земельный
18210606042121000110	Земельный
18210606042122100110	Земельный
18210606042122200110	Земельный
18210606042123000110	Земельный
18210606042124000110	Земельный
18210606042125000110	Земельный
18210606042141000110	Земельный
18210606042142100110	Земельный
18210606042142200110	Земельный
18210606042143000110	Земельный
18210606042144000110	Земельный
18210606042145000110	Земельный
18210606043051000110	Земельный
18210606043052100110	Земельный
18210606043052200110	Земельный
18210606043053000110	Земельный
18210606043054000110	Земельный
18210606043055000110	Земельный
18210606043101000110	Земельный
18210606043102100110	Земельный
18210606043102200110	Земельный
18210606043103000110	Земельный
18210606043104000110	Земельный
18210606043105000110	Земельный
18210606043131000110	Земельный
18210606043132100110	Земельный
18210606043132200110	Земельный
18210606043133000110	Земельный
18210606043134000110	Земельный
18210606043135000110	Земельный
18210901010031000110	Прибыль
18210901010032100110	Прибыль
18210901010032200110	Прибыль
18210901010033000110	Прибыль
18210901010034000110	Прибыль
18210901010035000110	Прибыль
18210901020041000110	Прибыль
18210901020042100110	Прибыль
18210901020042200110	Прибыль
18210901020043000110	Прибыль
18210901020044000110	Прибыль
18210901020045000110	Прибыль
18210901020111000110	Прибыль
18210901020112100110	Прибыль
18210901020112200110	Прибыль
18210901020113000110	Прибыль
18210901020114000110	Прибыль
18210901020115000110	Прибыль
18210901020121000110	Прибыль
18210901020122100110	Прибыль
18210901020122200110	Прибыль
18210901020123000110	Прибыль
18210901020124000110	Прибыль
18210901020125000110	Прибыль
18210901020141000110	Прибыль
18210901020142100110	Прибыль
18210901020142200110	Прибыль
18210901020143000110	Прибыль
18210901020144000110	Прибыль
18210901020145000110	Прибыль
18210901030051000110	Прибыль
18210901030052100110	Прибыль
18210901030052200110	Прибыль
18210901030053000110	Прибыль
18210901030054000110	Прибыль
18210901030055000110	Прибыль
18210904051031000110	Земельный
18210904051032100110	Земельный
18210904051032200110	Земельный
18210904051033000110	Земельный
18210904051034000110	Земельный
18210904051035000110	Земельный
18210904052041000110	Земельный
18210904052042100110	Земельный
18210904052042200110	Земельный
18210904052043000110	Земельный
18210904052044000110	Земельный
18210904052045000110	Земельный
18210904052111000110	Земельный
18210904052112100110	Земельный
18210904052112200110	Земельный
18210904052113000110	Земельный
18210904052114000110	Земельный
18210904052115000110	Земельный
18210904052141000110	Земельный
18210904052142100110	Земельный
18210904052142200110	Земельный
18210904052143000110	Земельный
18210904052144000110	Земельный
18210904052145000110	Земельный
18210904053051000110	Земельный
18210904053052100110	Земельный
18210904053052200110	Земельный
18210904053053000110	Земельный
18210904053054000110	Земельный
18210904053055000110	Земельный
18210904053101000110	Земельный
18210904053102100110	Земельный
18210904053102200110	Земельный
18210904053103000110	Земельный
18210904053104000110	Земельный
18210904053105000110	Земельный
18210904053131000110	Земельный
18210904053132100110	Земельный
18210904053132200110	Земельный
18210904053133000110	Земельный
18210904053134000110	Земельный
18210904053135000110	Земельный
18210909030081000110	ПФР
18210909030082100110	ПФР
18210909030082200110	ПФР
18210909030083000110	ПФР
